layer,type,I0_0,I0_1,I1_0,I1_1,O_0,O_1,input,output,weight,gemm,vect,Misc
target_item,InputLayer,1,,,,1,,1,1,,,,
target_cate,InputLayer,1,,,,1,,1,1,,,,
embedding,Embedding,1,,,,1,64,1,64,4032064,,,
embedding_1,Embedding,1,,,,1,64,1,64,51264,,,
hist_item_seq,InputLayer,,,,,,,1,1,,,,
hist_cate_seq,InputLayer,,,,,,,1,1,,,,
lambda_1,Lambda,1,64,1,64,1,128,128,128,,,,
lambda_2,Lambda,1,128,,,128,,128,128,,,,
lambda_3,Lambda,,64,,64,,128,128,128,,,,
hist_len,InputLayer,1,,,,1,,1,1,,,,
attention,Attention,128,,,128,,,257,1,,,,"(1,),"
lambda_4,Lambda,,,,,128,,1,128,,,,
dense,Dense,128,,,,63802,,128,63802,8230458,8166656,,
lambda_5,Lambda,128,,63802,,63930,,63930,63930,,,,
embedding_2,Embedding,1,,,,1,1,1,1,63001,,,
model,Model,63930,,,,1,,63930,1,5117761,,,
lambda,Lambda,1,1,,,1,,1,1,,,,
add,Add,1,,1,,1,,2,1,,,1,
