layer_l0,layer_l1,I1,I2,I3,O1,O2,O3,#Para,gemm,vect,acti
Sequential: 1-1,, 13, , , 16, , , 155984, , , ,
,Linear: 2-1, 13, , , 512, , , 7168, 7168, , ,
,ReLU: 2-2, 512, , , 512, , , , , , 512,
,Linear: 2-3, 512, , , 256, , , 131328, 131328, , ,
,ReLU: 2-4, 256, , , 256, , , , , , 256,
,Linear: 2-5, 256, , , 64, , , 16448, 16448, , ,
,ReLU: 2-6, 64, , , 64, , , , , , 64,
,Linear: 2-7, 64, , , 16, , , 1040, 1040, , ,
,ReLU: 2-8, 16, , , 16, , , , , , 16,
Sequential: 1-2,, 367, , , 1, , , 320001, , , ,
,EmbeddingBag: 2-9, , , , 16, , , 23360, , , ,
,EmbeddingBag: 2-10, , , , 16, , , 9328, , , ,
,EmbeddingBag: 2-11, , , , 16, , , 162099632, , , ,
,EmbeddingBag: 2-12, , , , 16, , , 35241728, , , ,
,EmbeddingBag: 2-13, , , , 16, , , 4880, , , ,
,EmbeddingBag: 2-14, , , , 16, , , 384, , , ,
,EmbeddingBag: 2-15, , , , 16, , , 200272, , , ,
,EmbeddingBag: 2-16, , , , 16, , , 10128, , , ,
,EmbeddingBag: 2-17, , , , 16, , , 48, , , ,
,EmbeddingBag: 2-18, , , , 16, , , 1490320, , , ,
,EmbeddingBag: 2-19, , , , 16, , , 90928, , , ,
,EmbeddingBag: 2-20, , , , 16, , , 133625488, , , ,
,EmbeddingBag: 2-21, , , , 16, , , 51104, , , ,
,EmbeddingBag: 2-22, , , , 16, , , 432, , , ,
,EmbeddingBag: 2-23, , , , 16, , , 239872, , , ,
,EmbeddingBag: 2-24, , , , 16, , , 87380896, , , ,
,EmbeddingBag: 2-25, , , , 16, , , 160, , , ,
,EmbeddingBag: 2-26, , , , 16, , , 90432, , , ,
,EmbeddingBag: 2-27, , , , 16, , , 34768, , , ,
,EmbeddingBag: 2-28, , , , 16, , , 64, , , ,
,EmbeddingBag: 2-29, , , , 16, , , 112744752, , , ,
,EmbeddingBag: 2-30, , , , 16, , , 288, , , ,
,EmbeddingBag: 2-31, , , , 16, , , 240, , , ,
,EmbeddingBag: 2-32, , , , 16, , , 4578896, , , ,
,EmbeddingBag: 2-33, , , , 16, , , 1680, , , ,
,EmbeddingBag: 2-34, , , , 16, , , 2281152, , , ,
,Linear: 2-35, 367, , , 512, , , 188416, 188416, , ,
,ReLU: 2-36, 512, , , 512, , , , , , 512,
,Linear: 2-37, 512, , , 256, , , 131328, 131328, , ,
,ReLU: 2-38, 256, , , 256, , , , , , 256,
,Linear: 2-39, 256, , , 1, , , 257, 257, , ,
,Sigmoid: 2-40, 1, , , 1, , , , 1, , ,
